time,open,high,low,close
1575549000,7425.77,7450,7405.15,7436.97
1575550800,7436.97,7485,7411.72,7435
1575552600,7435.02,7440.45,7361.14,7378.73
1575554400,7378.71,7404.83,7369.24,7384.52
1575556200,7383.2,7416.3,7381.83,7401.39
1575558000,7401.39,7406.22,7315.19,7333.51
1575559800,7332.27,7350.18,7315,7336.99
1575561600,7335.91,7349,7307.54,7332.14
1575563400,7332.12,7333.96,7285.81,7301.64
1575565200,7300.37,7331.43,7265,7308.29
1575567000,7310.49,7354.79,7309.07,7342.55
1575568800,7342.55,7395.16,7327.59,7348.16
1575570600,7347.89,7385.66,7337.2,7356.14
1575572400,7354.96,7375.96,7352.08,7371.67
1575574200,7371.64,7405,7370.2,7374.81
1575576000,7374.38,7424.29,7367.09,7373
1575577800,7372.98,7397.55,7358,7376.94
1575579600,7377.76,7390.99,7338,7348.35
1575581400,7348.33,7375.29,7334.4,7375.12
1575583200,7375.12,7414.18,7363.92,7399.9
1575585000,7398.31,7404.96,7366.49,7395.48
1575586800,7394.8,7447.4,7393.3,7411.82
1575588600,7411.82,7413.16,7367.18,7389
1575590400,7389,7389.14,7313.91,7356.5
1575592200,7356.67,7379.93,7344.7,7371.45
1575594000,7371.23,7378.25,7356.14,7369.8
1575595800,7369.8,7433.99,7363,7399.04
1575597600,7398.12,7433.81,7392,7397.58
1575599400,7397.77,7404.53,7372.21,7395.16
1575601200,7395.18,7410.72,7375.05,7401.42
1575603000,7400.6,7411.06,7358.01,7371.9
1575604800,7371.9,7384.45,7347,7375.34
1575606600,7375.32,7402.73,7371.49,7400
1575608400,7399.86,7410,7383.02,7409.22
1575610200,7408.9,7410,7373.55,7395.27
1575612000,7394.64,7395.73,7361.02,7370.64
1575613800,7370.62,7381.11,7332,7360.8
1575615600,7361.9,7386.2,7346.15,7373.78
1575617400,7373.78,7381.47,7360.01,7367.54
1575619200,7367,7379.99,7349.01,7355.15
1575621000,7355.14,7380,7330,7350.68
1575622800,7350.54,7350.65,7315,7335.02
1575624600,7335.01,7443.15,7333,7387.41
1575626400,7387.43,7396.29,7357,7373.71
1575628200,7374.94,7375.52,7325,7331.8
1575630000,7330.37,7358.48,7305,7343.46
1575631800,7343.44,7355.97,7337,7338.66
1575633600,7338.68,7378.8,7337.56,7366.55
